Judul,year,album,type,url
The Fight,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/thefight.html
The Stage,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/thestage.html
The Wicked End,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/thewickedend.html
Thick And Thin,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/thickandthin.html
This Means War,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/thismeanswar.html
To End The Rapture,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/toendtherapture.html
Tonight The World Dies,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/tonighttheworlddies.html
Trashed And Scattered,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/trashedandscattered.html
Turn The Other Way,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/turntheotherway.html
Unbound (The Wild Ride),2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/unboundthewildride.html
Unholy Confessions,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/unholyconfessions.html
Until The End,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/untiltheend.html
Victim,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/victim.html
Waking The Fallen,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/wakingthefallen.html
Waking The Fallen: Resurrected,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/wakingthefallenresurrected.html
Walk,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/walk.html
Warmness On The Soul,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/warmnessonthesoul.html
We Come Out At Night,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/wecomeoutatnight.html
We Love You,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/weloveyou.html
Welcome To The Family,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/welcometothefamily.html
Wish You Were Here,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/wishyouwerehere.html
